product_key,product_name,category,subcategory,brand,unit_cost,list_price
1,Northgate Pro Men's Top 1,Apparel,Men's Tops,Northgate,134.51,267.92
2,Sable & Co Essential Men's Top 2,Apparel,Men's Tops,Sable & Co,123.1,372.68
3,Northgate Compact Men's Top 3,Apparel,Men's Tops,Northgate,9.59,16.78
4,Pinnacle Pro Men's Top 4,Apparel,Men's Tops,Pinnacle,102.78,282.2
5,Basecamp Compact Men's Top 5,Apparel,Men's Tops,Basecamp,42.8,108.83
6,Aurora Classic Men's Top 6,Apparel,Men's Tops,Aurora,126.87,272.06
7,Sable & Co Ultra Men's Top 7,Apparel,Men's Tops,Sable & Co,172.47,368.84
8,Northgate Compact Men's Top 8,Apparel,Men's Tops,Northgate,21.02,62.13
9,Willowbrook Everyday Men's Top 9,Apparel,Men's Tops,Willowbrook,146.05,404.2
10,Vantage Essential Men's Top 10,Apparel,Men's Tops,Vantage,175.27,386.59
11,Vantage Everyday Men's Top 11,Apparel,Men's Tops,Vantage,149.98,388.39
12,Lumen Ultra Men's Top 12,Apparel,Men's Tops,Lumen,128.0,214.18
13,Pinnacle Everyday Men's Top 13,Apparel,Men's Tops,Pinnacle,177.4,526.61
14,Northgate Compact Men's Top 14,Apparel,Men's Tops,Northgate,52.92,138.5
15,Lumen Classic Men's Top 15,Apparel,Men's Tops,Lumen,69.15,133.82
16,CoastalGear Essential Men's Top 16,Apparel,Men's Tops,CoastalGear,111.21,208.39
17,Basecamp Ultra Men's Top 17,Apparel,Men's Tops,Basecamp,32.76,72.31
18,Crestline Ultra Men's Top 18,Apparel,Men's Tops,Crestline,124.49,367.07
19,Aurora Ultra Men's Top 19,Apparel,Men's Tops,Aurora,148.64,429.28
20,Meridian Everyday Men's Top 20,Apparel,Men's Tops,Meridian,15.65,47.9
21,Willowbrook Signature Men's Top 21,Apparel,Men's Tops,Willowbrook,41.42,99.36
22,Crestline Deluxe Men's Top 22,Apparel,Men's Tops,Crestline,29.15,53.15
23,Vantage Everyday Women's Top 1,Apparel,Women's Tops,Vantage,135.47,309.62
24,Willowbrook Compact Women's Top 2,Apparel,Women's Tops,Willowbrook,67.71,216.38
25,Sable & Co Deluxe Women's Top 3,Apparel,Women's Tops,Sable & Co,20.0,33.51
26,Northgate Classic Women's Top 4,Apparel,Women's Tops,Northgate,114.43,328.11
27,Meridian Essential Women's Top 5,Apparel,Women's Tops,Meridian,71.72,183.13
28,Trailhead Everyday Women's Top 6,Apparel,Women's Tops,Trailhead,174.91,520.75
29,Aurora Essential Women's Top 7,Apparel,Women's Tops,Aurora,123.98,304.89
30,CoastalGear Signature Women's Top 8,Apparel,Women's Tops,CoastalGear,23.63,54.25
31,Trailhead Pro Women's Top 9,Apparel,Women's Tops,Trailhead,171.87,515.84
32,CoastalGear Classic Women's Top 10,Apparel,Women's Tops,CoastalGear,93.35,165.25
33,Crestline Everyday Women's Top 11,Apparel,Women's Tops,Crestline,152.13,366.98
34,Pinnacle Classic Women's Top 12,Apparel,Women's Tops,Pinnacle,69.81,129.74
35,Vantage Pro Women's Top 13,Apparel,Women's Tops,Vantage,109.41,260.59
36,Northgate Signature Women's Top 14,Apparel,Women's Tops,Northgate,158.66,464.98
37,CoastalGear Ultra Women's Top 15,Apparel,Women's Tops,CoastalGear,14.19,42.64
38,Northgate Essential Women's Top 16,Apparel,Women's Tops,Northgate,132.82,385.93
39,Vantage Classic Women's Top 17,Apparel,Women's Tops,Vantage,26.6,62.79
40,Vantage Classic Women's Top 18,Apparel,Women's Tops,Vantage,50.65,151.74
41,Meridian Ultra Women's Top 19,Apparel,Women's Tops,Meridian,167.49,470.38
42,Basecamp Ultra Women's Top 20,Apparel,Women's Tops,Basecamp,129.48,289.83
43,Crestline Signature Outerwear 1,Apparel,Outerwear,Crestline,81.11,196.94
44,Northgate Ultra Outerwear 2,Apparel,Outerwear,Northgate,43.55,93.24
45,Willowbrook Ultra Outerwear 3,Apparel,Outerwear,Willowbrook,107.57,173.35
46,Basecamp Pro Outerwear 4,Apparel,Outerwear,Basecamp,44.29,135.03
47,Lumen Essential Outerwear 5,Apparel,Outerwear,Lumen,94.49,193.29
48,Trailhead Ultra Outerwear 6,Apparel,Outerwear,Trailhead,98.91,272.73
49,Willowbrook Deluxe Outerwear 7,Apparel,Outerwear,Willowbrook,46.77,110.23
50,Meridian Ultra Outerwear 8,Apparel,Outerwear,Meridian,20.6,54.68
51,Lumen Compact Outerwear 9,Apparel,Outerwear,Lumen,76.35,227.69
52,Aurora Essential Outerwear 10,Apparel,Outerwear,Aurora,14.67,40.56
53,Northgate Ultra Outerwear 11,Apparel,Outerwear,Northgate,37.72,92.72
54,Sable & Co Compact Outerwear 12,Apparel,Outerwear,Sable & Co,36.29,84.93
55,Northgate Deluxe Outerwear 13,Apparel,Outerwear,Northgate,146.21,434.18
56,Northgate Pro Outerwear 14,Apparel,Outerwear,Northgate,118.78,292.79
57,Aurora Essential Outerwear 15,Apparel,Outerwear,Aurora,167.04,494.09
58,Sable & Co Compact Outerwear 16,Apparel,Outerwear,Sable & Co,89.47,173.75
59,Meridian Pro Outerwear 17,Apparel,Outerwear,Meridian,32.98,52.88
60,Meridian Everyday Outerwear 18,Apparel,Outerwear,Meridian,167.07,477.19
61,CoastalGear Compact Outerwear 19,Apparel,Outerwear,CoastalGear,126.6,350.53
62,Vantage Deluxe Outerwear 20,Apparel,Outerwear,Vantage,31.24,64.81
